Название песни + исполнитель ,Отзыв,Ссылки,Depeche Mode Songs,Отзыв
Michael Jackson - Remember the time,Ой какой это рай для ушей.. даааа,https://www.youtube.com/watch?v=LeiFF0gvqcc,,
Outkast - Hey Ya!,Хахахаха очень очень хорошо)) Поднимает настроение до небес,https://www.youtube.com/watch?v=PWgvGjAhvIw,,
Rod Stewart - Have i told you lately,Ой)) Ну романтика просто.. это точно мое),https://www.youtube.com/watch?v=b96d6-dMi7A,,
Chris Rea - Looking for the summer,"Пишет парень в комментариях, что он единственный, кто слушает такие песни)) А вот тут ошибка, не только у него прекрасный вкус)",https://www.youtube.com/watch?v=A8a6kHQN9BA,,
Savage - Only you,"Знаешь, все эти песни остаются в душе и каждая из них по своему особенная, как же я люблю это",https://www.youtube.com/watch?v=zMeBtd8z9go,,
По барабану бум-бум,"Даааа) я решила, что без этой песни не обойтись)) Такая добрая и кажется детская, но и тут есть свой смысл) Нужно быть как лисичка и так же чувствовать?)",https://youtu.be/DprW6j9---c,,
Samantha Fox - Touch me,"Какие у них тут прически, я не могу! Мне кажется тогда и жизнь по другому чувствовалась:( грустно",https://youtu.be/W1btg3mpEOc,,
Pat Benatar - Love is a Battlefield,Очень очень хорошая,https://youtu.be/IGVZOLV9SPo,,
Daryl Hall & John Oates - Out of touch ,"Божееее люблю ее, ну настолько позитивная и классная!!",https://youtu.be/D00M2KZH1J0,,
Kenya Grace - Strangers ,"Я слышала эту песню не так давно, но скажу честно, чувствую что это новая песня:))",https://youtu.be/S2TaAcwC_zI,,
Kylie Minogue - Can't get you out of my head," Ко мне приходит папин друг и говорит: Послушай эту песню срочно) Я ее знаю, но не слушаю. Но как для момента- супер",https://youtu.be/c18441Eh_WE,,
The romantics - Talking in your sleep,"Вот такое мне очень нравится) Не постоянно, но слушаю",https://youtu.be/JmGMzyajA2U,,
Whitesnake - Is this love,"Песня, которая прослушивается каждый божий день,вместе с депеш модом, ну очень нравиться. Все так подходит друг другу: клип, музыка, слова! Просто рай",https://youtu.be/ER1NXiS0bh0,,
Roxette - Listen to your heart,"Нужно немного времени, чтобы дать отзыв на эту песню",https://youtu.be/yCC_b5WHLX0,,
Scorpions -Still loving you,ВАу)) Это 100% да!,https://youtu.be/CjRas1yOWvo,,
Serge Gainsbourg & Jane Birkin - Je t'aime moi non plus,"В песне скрыто так много чувственности. любви и нежности, а французский просто ааа... Лера, будешь потом смотреть эти отзывы, обрати на это внимание",https://www.youtube.com/watch?v=GlpDf6XX_j0,,
Sarah McLachlan - Possession,"Какой голос, даа? Невероятно..",https://www.youtube.com/watch?v=itydwcyywBc,,
Jon Secada - Just another day,"Я очень люблю подобную музыку, она приятно наполняет тебя что ли?)) Я тоже умею так тянуть, позже покажу ахаха",https://www.youtube.com/watch?v=B6LhWbQthAI,,
Dannii Minogue - All i wanna do,"Это одна из тех красивых сестер)) Если предыдущая для успокоения, то эта нет. Я всегда хотела быть такой блондинкой ахха",https://youtu.be/_MAjm0QqJ7g,,
Sheryl Crow - If it makes you happy,Все просто - Это было круто!,https://www.youtube.com/watch?v=dyihQtBes1I,,
Fleetwood Mac - Little Lies,"аййййй...tell me tell me, this song can't be real. I don't like it, I LOVE IT",https://www.youtube.com/watch?v=uCGD9dT12C0,,
Fiction Factory - (Feels like) Heaven ,"Везде, где есть в названии Heaven автоматически мне нравится. Много слов не нужно)",https://www.youtube.com/watch?v=KQBoeBgb0uk,,
Orchestral Manoeuvres in the dark - Souvenir,"Это хорошая, но часто слушать не буду",https://www.youtube.com/watch?v=XDIYOiQUi2s,,
